GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),Engine Coolant Temperature(°C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel used (trip)(l),GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),O2 Bank 1 Sensor 1 Voltage(V),Odometer(from ECU)(miles),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Mon Mar 21 16:04:34 GMT+01:00 2022,21-Mar-2022 16:07:37.479,5.207371138114731,52.416263822783094,0.0,6.0,49.60631110427736,65.1236572265625,9.90032673,0.16041641,-1.04629815,0.08539593,0.08,0.02,-0.04,16.47058868,8.23529434,-,-,14.92654705,-,-,10,14.93888701,537.20001221,1.01541138,355.53344727,-,0,0,79,19.6078434,23.13725471,869.25,-,1.99624276,33.27071381,58.4313736,0,7.03125,-2.34375,-,-,0,-,13,0,9.37239456,-,118965461.65821159,89.42063141,0,10.57936859,0,12.15686321,12,0,0,0,-8.70226383,14.65600014,14.69999981
Mon Mar 21 16:04:34 GMT+01:00 2022,21-Mar-2022 16:07:37.579,5.207371138114731,52.416263822783094,0.0,6.0,49.60631110427736,65.1236572265625,9.73991013,0.45012367,-0.67039692,0.06669784,0.11,0.06,0.01,16.47058868,8.23529434,-,-,14.92654705,-,-,10,14.93888701,537.20001221,1.01541138,355.53344727,-,0,0,79,19.6078434,23.13725471,869.25,-,1.99624276,33.27071381,58.4313736,0,7.03125,-2.34375,-,-,0,-,13,0,9.37239456,-,118965461.65821159,89.42063141,0,10.57936859,0,12.15686321,12,0,0,0,-8.70226383,14.65600014,14.69999981
Mon Mar 21 16:04:34 GMT+01:00 2022,21-Mar-2022 16:07:37.679,5.207371138114731,52.416263822783094,0.0,6.0,49.60631110427736,65.1236572265625,9.45977974,0.05267405,-0.83799618,0.03852707,0.07,0,0,16.47058868,8.23529434,-,-,14.92654705,-,-,10,14.93888701,537.20001221,1.01541138,355.53344727,-,0,0,79,19.6078434,23.13725471,869.25,-,1.99624276,33.27071381,58.4313736,0,7.03125,-2.34375,-,-,0,-,13,0,9.37239456,-,118965461.65821159,89.42063141,0,10.57936859,0,12.15686321,12,0,0,0,-8.70226383,14.65600014,14.69999981
Mon Mar 21 16:04:34 GMT+01:00 2022,21-Mar-2022 16:07:37.781,5.207371138114731,52.416263822783094,0.0,6.0,49.60631110427736,65.1236572265625,9.65371609,0.0574626,-0.72307098,0.05727911,0.04,0.01,-0.04,16.47058868,8.23529434,-,-,14.92654705,-,-,10,14.93888701,537.20001221,1.01541138,355.53344727,-,0,0,79,19.6078434,23.13725471,869.25,-,1.99624276,33.27071381,58.4313736,0,7.03125,-2.34375,-,-,0,-,13,0,9.37239456,-,118965461.65821159,89.42063141,0,10.57936859,0,12.15686321,12,0,0,0,-8.70226383,14.65600014,14.69999981
Mon Mar 21 16:04:34 GMT+01:00 2022,21-Mar-2022 16:07:37.881,5.207371138114731,52.416263822783094,0.0,6.0,49.60631110427736,65.1236572265625,9.85722923,0.1699935,-0.56504887,0.07704937,0.07,0.02,0,16.47058868,8.23529434,-,-,14.92654705,-,-,10,14.93888701,537.20001221,1.01541138,355.53344727,-,0,0,79,19.6078434,23.13725471,869.25,-,1.99624276,33.27071381,58.4313736,0,7.03125,-2.34375,-,-,0,-,13,0,9.37239456,-,118965461.65821159,89.42063141,0,10.57936859,0,12.15686321,12,0,0,0,-8.70226383,14.65600014,14.69999981
Mon Mar 21 16:04:34 GMT+01:00 2022,21-Mar-2022 16:07:37.979,5.207371138114731,52.416263822783094,0.0,6.0,49.60631110427736,65.1236572265625,9.65132141,0.04549122,-0.81644773,0.05778599,0.05,0.01,-0.02,16.47058868,8.23529434,-,-,14.92654705,-,-,10,14.93888701,537.20001221,1.01541138,355.53344727,-,0,0,79,19.6078434,23.92156792,869.25,-,1.99624276,33.27071381,58.4313736,0,7.03125,-2.34375,-,-,0,-,13,0,9.37239456,-,118965461.65821159,89.42063141,0,10.57936859,0,12.15686321,12,0,0,0,-8.70226383,14.65600014,14.69999981
Mon Mar 21 16:04:35 GMT+01:00 2022,21-Mar-2022 16:07:38.078,5.207371138114731,52.416263822783094,0.0,6.0,49.58693332785205,65.1236572265625,9.88117218,0.17957062,-1.04150951,0.08343661,0.08,0.02,-0.04,16.47058868,8.23529434,-,-,14.92654705,-,-,10,14.93888701,537.20001221,1.01541138,355.53344727,-,0,0,79,19.6078434,23.92156792,869.25,-,1.99624276,33.27071381,58.4313736,0,7.03125,-2.34375,-,-,0,-,13,0,9.37239456,-,118965461.65821159,89.42063141,0,10.57936859,0,12.15686321,12,0,0,0,-8.70226383,14.65600014,14.69999981
Mon Mar 21 16:04:35 GMT+01:00 2022,21-Mar-2022 16:07:38.179,5.207371138114731,52.416263822783094,0.0,6.0,49.58693332785205,65.1236572265625,9.83089256,0.26337022,-1.07981789,0.07895052,0.07,0.01,-0.01,16.47058868,8.23529434,-,-,14.92654705,-,-,10,14.93888701,537.20001221,1.01541138,355.53344727,-,0,0,79,19.6078434,23.92156792,869.25,-,1.99624276,33.27071381,58.4313736,0,7.03125,-2.34375,-,-,0,-,13,0,9.37239456,-,118965461.65821159,89.42063141,0,10.57936859,0,12.15686321,12,0,0,0,-8.70226383,14.65600014,14.69999981
Mon Mar 21 16:04:35 GMT+01:00 2022,21-Mar-2022 16:07:38.279,5.207371138114731,52.416263822783094,0.0,6.0,49.58693332785205,65.1236572265625,9.79497814,0.25858167,-0.83320761,0.07285762,0.07,0.03,-0.02,16.47058868,8.23529434,-,-,14.92654705,-,-,10,14.93888701,537.20001221,1.01541138,355.53344727,-,0,0,79,19.6078434,23.92156792,869.25,-,1.99624276,33.27071381,58.4313736,0,7.03125,-2.34375,-,-,0,-,13,0,9.37239456,-,118965461.65821159,89.42063141,0,10.57936859,0,12.15686321,12,0,0,0,-8.70226383,14.65600014,14.69999981
Mon Mar 21 16:04:35 GMT+01:00 2022,21-Mar-2022 16:07:38.382,5.207371138114731,52.416263822783094,0.0,6.0,49.58693332785205,65.1236572265625,9.66808128,0,-0.72307098,0.05872202,0.08,0.03,-0.01,16.47058868,8.23529434,-,-,14.92654705,-,-,10,14.93888701,537.20001221,1.01541138,355.53344727,-,0,0,79,19.6078434,23.92156792,869.25,-,1.99624276,33.27071381,58.4313736,0,7.03125,-2.34375,-,-,0,-,13,0,9.37239456,-,118965461.65821159,89.42063141,0,10.57936859,0,12.15686321,12,0,0,0,-8.70226383,14.65600014,14.69999981
