GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),Engine Coolant Temperature(°C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel used (trip)(l),GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),O2 Bank 1 Sensor 1 Voltage(V),Odometer(from ECU)(miles),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Sat Mar 19 18:24:44 GMT+01:00 2022,19-Mar-2022 18:27:46.152,5.207308075686912,52.41633110554342,0.0,4.0,64.56673650048702,241.00830078125,9.85483551,0.20590763,-0.28252444,0.02978635,0.02,0,0.02,16.47058868,8.23529434,-,-,14.69999981,-,-,10,14.93888701,519.79998779,1,-,-,0,0,83,0,0,0,-,1.70997179,28.49952888,86.66666412,0,7.03125,0,-,-,0,-,14,0,9.56049061,-,-101000745.60685325,27.10269547,0,72.89730835,0,17.64705849,-30,0,0,0,0,12.60499954,12.60000038
Sat Mar 19 18:24:44 GMT+01:00 2022,19-Mar-2022 18:27:46.251,5.207308075686912,52.41633110554342,0.0,4.0,64.56673650048702,241.00830078125,9.83089256,0.2370332,-0.26815879,0.02737761,0.02,0,0.03,16.47058868,8.23529434,-,-,14.69999981,-,-,10,14.93888701,519.79998779,1,-,-,0,0,83,0,0,0,-,1.70997179,28.49952888,86.66666412,0,7.03125,0,-,-,0,-,14,0,9.56049061,-,-101000745.60685325,27.10269547,0,72.89730835,0,17.64705849,-30,0,0,0,0,12.60499954,12.60000038
Sat Mar 19 18:24:44 GMT+01:00 2022,19-Mar-2022 18:27:46.351,5.207308075686912,52.41633110554342,0.0,4.0,64.56673650048702,241.00830078125,9.80934429,0.20111908,-0.28013015,0.02513492,0.02,0,0.03,16.47058868,8.23529434,-,-,14.69999981,-,-,10,14.93888701,519.79998779,1,-,-,0,0,83,0,0,0,-,1.70997179,28.49952888,86.66666412,0,7.03125,0,-,-,0,-,14,0,9.56049061,-,-101000745.60685325,27.10269547,0,72.89730835,0,17.64705849,-30,0,0,0,0,12.60499954,12.60000038
Sat Mar 19 18:24:44 GMT+01:00 2022,19-Mar-2022 18:27:46.450,5.207308075686912,52.41633110554342,0.0,4.0,64.56673650048702,241.00830078125,9.85004616,0.16520496,-0.3328042,0.02938032,0.02,0,0.02,16.47058868,8.23529434,-,-,14.69999981,-,-,10,14.93888701,519.79998779,1,-,-,0,0,83,0,0,0,-,1.70997179,28.49952888,86.66666412,0,7.03125,0,-,-,0,-,14,0,9.56049061,-,-101000745.60685325,27.10269547,0,72.89730835,0,17.64705849,-30,0,0,0,0,12.60499954,12.60000038
Sat Mar 19 18:24:44 GMT+01:00 2022,19-Mar-2022 18:27:46.551,5.207308075686912,52.41633110554342,0.0,4.0,64.56673650048702,241.00830078125,9.84525776,0.17478207,-0.26815879,0.02870834,0.02,0,0.03,16.47058868,8.23529434,-,-,14.69999981,-,-,10,14.93888701,519.79998779,1,-,-,0,0,83,0,0,0,-,1.70997179,28.49952888,86.66666412,0,7.03125,0,-,-,0,-,14,0,9.56049061,-,-101000745.60685325,27.10269547,0,72.89730835,0,17.64705849,-30,0,0,0,0,12.60499954,12.60000038
Sat Mar 19 18:24:44 GMT+01:00 2022,19-Mar-2022 18:27:46.658,5.207308075686912,52.41633110554342,0.0,4.0,64.56673650048702,241.00830078125,9.85244083,0.23942748,-0.2753416,0.02959883,0.03,0,0.03,16.47058868,8.23529434,-,-,14.69999981,-,-,10,14.93888701,519.79998779,1,-,-,0,0,83,0,0,0,-,1.70997179,28.49952888,86.66666412,0,7.03125,0,-,-,0,-,14,0,9.56049061,-,-101000745.60685325,27.10269547,0,72.89730835,0,17.64705849,-30,0,0,0,0,12.60499954,12.60000038
Sat Mar 19 18:24:44 GMT+01:00 2022,19-Mar-2022 18:27:46.750,5.207308075686912,52.41633110554342,0.0,4.0,64.56673650048702,241.00830078125,9.82610416,0.15802214,-0.28970724,0.02679038,0.02,0,0.03,16.47058868,8.23529434,-,-,14.69999981,-,-,10,14.93888701,519.79998779,1,-,-,0,0,83,0,0,0,-,1.70997179,28.49952888,86.66666412,0,7.03125,0,-,-,0,-,14,0,9.56049061,-,-101000745.60685325,27.10269547,0,72.89730835,0,17.64705849,-30,0,0,0,0,12.60499954,12.60000038
Sat Mar 19 18:24:44 GMT+01:00 2022,19-Mar-2022 18:27:46.852,5.207308075686912,52.41633110554342,0.0,4.0,64.56673650048702,241.00830078125,9.80455494,0.13168511,-0.2753416,0.02451313,0.02,0,0.03,16.47058868,8.23529434,-,-,14.69999981,-,-,10,14.93888701,519.79998779,1,-,-,0,0,83,0,0,0,-,1.70997179,28.49952888,86.66666412,0,7.03125,0,-,-,0,-,14,0,9.56049061,-,-101000745.60685325,27.10269547,0,72.89730835,0,17.64705849,-30,0,0,0,0,12.60499954,12.60000038
Sat Mar 19 18:24:45 GMT+01:00 2022,19-Mar-2022 18:27:46.950,5.207308075686912,52.41633110554342,0.0,4.0,64.55582569806832,241.00830078125,9.83328629,0.21309046,-0.27055305,0.02757227,0.02,0,0.03,16.47058868,8.23529434,-,-,14.69999981,-,-,10,14.93888701,519.79998779,1,-,-,0,0,83,0,0,0,-,1.70997179,28.49952888,86.66666412,0,7.03125,0,-,-,0,-,14,0,9.56049061,-,-101000745.60685325,27.10269547,0,72.89730835,0,17.64705849,-30,0,0,0,0,12.60499954,12.60000038
Sat Mar 19 18:24:45 GMT+01:00 2022,19-Mar-2022 18:27:47.049,5.207308075686912,52.41633110554342,0.0,4.0,64.55582569806832,241.00830078125,9.78779507,0.20590763,-0.29449579,0.02299267,0.02,0,0.03,16.47058868,8.23529434,-,-,14.69999981,-,-,10,14.93888701,519.79998779,1,-,-,0,0,83,0,0,0,-,1.70997179,28.49952888,86.66666412,0,7.03125,0,-,-,0,-,14,0,9.56049061,-,-101000745.60685325,27.10269547,0,72.89730835,0,17.64705849,-30,0,0,0,0,12.60499954,12.60000038
