GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),Engine Coolant Temperature(°C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel used (trip)(l),GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),O2 Bank 1 Sensor 1 Voltage(V),Odometer(from ECU)(miles),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Sat Mar 19 19:04:42 GMT+01:00 2022,19-Mar-2022 19:07:44.726,5.207300550088019,52.416279839776024,0.0,2.0,51.04206777810076,63.56892395019531,9.74230385,0.1340794,-0.06464542,-0.02426726,-0.01,0,-0.01,16.47058868,8.23529434,-,-,14.69999981,16.23923683,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,0,0,0,-,1.63155687,27.1926136,82.7450943,0,7.8125,0,-,-,0,-,19,0,9.53305054,-,-44706404.58007693,88.38118744,0,11.6188097,0,17.64705849,-30,0,0,0,-0.72518867,12.33199978,12.10000038
Sat Mar 19 19:04:42 GMT+01:00 2022,19-Mar-2022 19:07:44.825,5.207300550088019,52.416279839776024,0.0,2.0,51.04206777810076,63.56892395019531,9.66808128,0.22266756,-0.05506832,-0.03167188,-0.01,0,-0.01,16.47058868,8.23529434,-,-,14.69999981,16.23923683,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,0,0,241.5,-,1.63155687,27.1926136,82.7450943,0,7.8125,0,-,-,0,-,19,0,9.53305054,-,-44706404.58007693,88.38118744,0,11.6188097,0,17.64705849,-30,0,0,0,-0.72518867,12.33199978,12.10000038
Sat Mar 19 19:04:43 GMT+01:00 2022,19-Mar-2022 19:07:44.924,5.207300550088019,52.416279839776024,0.0,2.0,51.04379854008829,63.56892395019531,9.64892769,0.22745611,-0.84996754,-0.02982068,-0.03,0,-0.08,16.47058868,8.23529434,-,-,14.69999981,16.23923683,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,0,0,241.5,-,1.63155687,27.1926136,82.7450943,0,7.8125,0,-,-,0,-,19,0,9.53305054,-,-44706404.58007693,88.38118744,0,11.6188097,0,11.76470566,-15,0,0,0,-0.72518867,10.90999985,12.10000038
Sat Mar 19 19:04:43 GMT+01:00 2022,19-Mar-2022 19:07:45.024,5.207300550088019,52.416279839776024,0.0,2.0,51.04379854008829,63.56892395019531,10.19961071,0.0670397,-0.51716334,0.02359128,0.02,0,-0.1,16.47058868,8.23529434,-,-,14.69999981,16.23923683,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,0,0,241.5,-,1.63155687,27.1926136,82.7450943,0,1.5625,0,-,-,0,-,19,0,9.53305054,-,-44706404.58007693,88.38118744,0,11.6188097,0,11.76470566,-15,0,0,0,-0.72518867,10.90999985,12.19999981
Sat Mar 19 19:04:43 GMT+01:00 2022,19-Mar-2022 19:07:45.127,5.207300550088019,52.416279839776024,0.0,2.0,51.04379854008829,63.56892395019531,9.57231045,0.42857519,-0.47406641,-0.03953952,-0.01,-0.01,-0.13,16.47058868,8.23529434,-,-,14.69999981,18.60204124,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,0,32.54901886,241.5,-,1.63155687,27.1926136,82.7450943,0,1.5625,0,-,-,0,-,19,0,9.53305054,-,-44706404.58007693,88.38118744,0,11.6188097,0,11.76470566,-15,0,0,0,-0.72518867,10.90999985,12.19999981
Sat Mar 19 19:04:43 GMT+01:00 2022,19-Mar-2022 19:07:45.228,5.207300550088019,52.416279839776024,0.0,2.0,51.04379854008829,63.56892395019531,10.16609097,0.35435268,-0.31365001,0.00755346,-0.03,0,-0.08,16.47058868,8.23529434,-,-,14.69999981,18.60204124,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,0,32.54901886,934.25,0.0000927,1.63155687,27.1926136,82.7450943,0,1.5625,0,-,0.00006867,0,-,19,0,9.53305054,-,-44706404.58007693,88.38118744,0,11.6188097,0,11.76470566,-15,0,0,0,-7.10684919,10.90999985,12.19999981
Sat Mar 19 19:04:43 GMT+01:00 2022,19-Mar-2022 19:07:45.329,5.207300550088019,52.416279839776024,0.0,2.0,51.04379854008829,63.56892395019531,9.86920071,0.29928434,-0.44294083,-0.00997293,-0.01,0,-0.04,16.47058868,8.23529434,-,-,14.69999981,18.60204124,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,24.31372643,32.54901886,934.25,0.0000927,1.63155687,27.1926136,82.7450943,0,1.5625,0,-,0.00006867,0,-,19,0,9.53305054,-,-44706404.58007693,88.38118744,0,11.6188097,0,11.76470566,-11,0,0,0,-7.10684919,10.90999985,12.19999981
Sat Mar 19 19:04:43 GMT+01:00 2022,19-Mar-2022 19:07:45.427,5.207300550088019,52.416279839776024,0.0,2.0,51.04379854008829,63.56892395019531,9.68244743,0.22506183,-0.74222517,-0.02732325,0,0,-0.07,16.47058868,8.23529434,-,-,14.69999981,15.01793194,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,24.31372643,32.54901886,934.25,0.0000927,1.63155687,27.1926136,82.7450943,0,-1.5625,0,-,0.00006867,0,-,19,0,9.53305054,-,-44706404.58007693,88.38118744,0,11.6188097,0,12.94117641,-11,0,0,0,-7.10684919,12.14000034,12.30000019
Sat Mar 19 19:04:43 GMT+01:00 2022,19-Mar-2022 19:07:45.529,5.207300550088019,52.416279839776024,0.0,2.0,51.04379854008829,63.56892395019531,9.7518816,0.20351335,-0.52195191,-0.02176785,-0.02,0,-0.08,16.47058868,8.23529434,-,-,14.69999981,15.01793194,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,24.31372643,28.62745094,903,0.00035315,2.33851337,38.97522354,82.7450943,0,-1.5625,0,-,0.00026159,0,-,19,0,9.53303909,-,-44706404.58007693,88.38118744,0,11.6188097,0,12.94117641,-11,0,0,0,-7.68700027,12.14000034,12.30000019
Sat Mar 19 19:04:43 GMT+01:00 2022,19-Mar-2022 19:07:45.627,5.207300550088019,52.416279839776024,0.0,2.0,51.04379854008829,63.56892395019531,9.83089256,0.18196489,-0.85475612,-0.01140106,-0.04,0,-0.06,16.47058868,8.23529434,-,-,14.69999981,15.01793194,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,22.74509811,28.62745094,903,0.00035315,2.33851337,38.97522354,82.7450943,0,-1.5625,0,-,0.00026159,0,-,19,0,9.53303909,-,-44706404.58007693,88.38118744,0,11.6188097,0,13.72549057,-6.5,0,0,0,-7.68700027,12.14000034,12.30000019
Sat Mar 19 19:04:43 GMT+01:00 2022,19-Mar-2022 19:07:45.727,5.207300550088019,52.416279839776024,0.0,2.0,51.04379854008829,63.56892395019531,9.90032673,0.24182175,-0.63927138,-0.00587273,0,0,-0.06,16.47058868,8.23529434,-,-,14.69999981,13.8459444,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,22.74509811,28.62745094,903,0.00035315,2.33851337,38.97522354,82.7450943,0,-1.5625,0,-,0.00026159,0,-,19,0,9.53303909,-,-44706404.58007693,88.38118744,0,11.6188097,0,13.72549057,-6.5,0,0,0,-7.68700027,12.16699982,12.30000019
Sat Mar 19 19:04:43 GMT+01:00 2022,19-Mar-2022 19:07:45.829,5.207300550088019,52.416279839776024,0.0,2.0,51.04379854008829,63.56892395019531,9.88356686,0.22985038,-0.9241901,-0.00531697,-0.01,0,-0.09,21.1764698,10.5882349,-,-,14.69999981,13.8459444,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,22.74509811,28.62745094,903,0.00035315,2.33851337,38.97522354,82.7450943,0,-1.5625,0,-,0.00026159,0,-,19,0,9.53303909,-,-44706404.58007693,88.38118744,0,11.6188097,0,13.72549057,-6.5,0,0,0,-7.68700027,12.16699982,12.30000019
Sat Mar 19 19:04:44 GMT+01:00 2022,19-Mar-2022 19:07:45.924,5.207300550088019,52.416279839776024,0.0,2.0,51.06074538831938,63.56892395019531,9.7135725,0.42857519,-0.86433321,-0.0224402,-0.02,0,-0.09,21.1764698,10.5882349,-,-,14.69999981,13.8459444,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,22.74509811,28.62745094,1103.25,0.00073946,2.6967752,44.94625092,82.7450943,0,-1.5625,0,-,0.00054775,0,-,19,0,9.53303909,-,-44706404.58007693,88.38118744,0,11.6188097,0,13.72549057,-6.5,0,0,0,-6.96181154,12.16699982,12.30000019
Sat Mar 19 19:04:44 GMT+01:00 2022,19-Mar-2022 19:07:46.029,5.207300550088019,52.416279839776024,0.0,2.0,51.06074538831938,63.56892395019531,9.47893429,0.19393626,-1.09657788,-0.04458505,-0.04,0.01,-0.09,21.1764698,10.5882349,-,-,14.69999981,13.8459444,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,24.70588303,28.62745094,1103.25,0.00073946,2.6967752,44.94625092,82.7450943,0,-1.5625,0,-,0.00054775,0.62137119,-,19,0,9.53303909,-,-44706404.58007693,0,0,100,0.62137119,16.07843208,8.5,0.063,0.063,0,-6.96181154,12.16699982,12.30000019
Sat Mar 19 19:04:44 GMT+01:00 2022,19-Mar-2022 19:07:46.125,5.207300550088019,52.416279839776024,0.0,2.0,51.06074538831938,63.56892395019531,9.48851109,0.23463893,-1.24502289,-0.04166996,-0.05,0,-0.12,23.13725471,10.5882349,-,-,14.69999981,14.23556042,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,24.70588303,28.62745094,1103.25,0.00073946,2.6967752,44.94625092,82.7450943,0,-2.34375,0,-,0.00054775,0.62137119,-,19,0,9.53303909,-,-44706404.58007693,0,0,100,0.62137119,16.07843208,8.5,0.16,0.16,0,-6.96181154,12.22200012,12.39999962
Sat Mar 19 19:04:44 GMT+01:00 2022,19-Mar-2022 19:07:46.227,5.207300550088019,52.416279839776024,0.0,2.0,51.06074538831938,63.56892395019531,9.27781487,0.31604427,-0.97207558,-0.06600922,0.02,0.02,-0.11,23.13725471,10.5882349,-,-,14.69999981,14.23556042,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,24.70588303,28.62745094,1103.25,0.00073946,2.6967752,44.94625092,82.7450943,0,-2.34375,0,-,0.00054775,0.62137119,-,19,0,9.53303909,-,-44706404.58007693,0,0,100,0.62137119,16.07843208,8.5,0.16,0.16,0,-6.96181154,12.22200012,12.39999962
Sat Mar 19 19:04:44 GMT+01:00 2022,19-Mar-2022 19:07:46.328,5.207300550088019,52.416279839776024,0.0,2.0,51.06074538831938,63.56892395019531,9.7662468,0.42618093,-0.90743017,-0.016711,-0.08,0,-0.13,23.13725471,11.76470566,-,-,14.69999981,14.23556042,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,24.70588303,28.62745094,1103.25,0.00073946,2.6967752,44.94625092,82.7450943,0,-2.34375,0,-,0.00054775,0.62137119,-,19,0,9.53303909,-,-44706404.58007693,0,0,100,0.62137119,16.07843208,8.5,0.30700001,0.30700001,0,-6.96181154,12.22200012,12.39999962
Sat Mar 19 19:04:44 GMT+01:00 2022,19-Mar-2022 19:07:46.425,5.207300550088019,52.416279839776024,0.0,2.0,51.06074538831938,63.56892395019531,10.78620815,0.64645422,-1.12770343,0.0899843,0.04,0.02,-0.13,23.13725471,11.76470566,-,-,14.69999981,14.23556042,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,24.70588303,39.2156868,1103.25,0.00073946,2.6967752,44.94625092,77.2549057,0,-2.34375,0,-,0.00054775,0.62137119,-,19,0,9.53303909,-,-44706404.58007693,0,0,100,0.62137119,16.07843208,8.5,0.44999999,0.44999999,0,-6.96181154,12.22200012,12.39999962
Sat Mar 19 19:04:44 GMT+01:00 2022,19-Mar-2022 19:07:46.531,5.207300550088019,52.416279839776024,0.0,2.0,51.06074538831938,63.56892395019531,9.68723583,0.2466103,-1.6017698,-0.01627302,-0.02,0,-0.16,23.13725471,11.76470566,-,-,14.69999981,14.23556042,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,25.88235283,39.2156868,1391.25,0.00163268,4.25342798,70.89046478,77.2549057,0,-2.34375,0,-,0.00120939,1.86411358,1.04720604,19,0.24277061,9.53280544,-,-44706404.58007693,0,0,100,1.86411358,16.07843208,8.5,0.56099999,0.56099999,0,-4.35113192,12.22200012,12.39999962
Sat Mar 19 19:04:44 GMT+01:00 2022,19-Mar-2022 19:07:46.628,5.207300550088019,52.416279839776024,0.0,2.0,51.06074538831938,63.56892395019531,8.76304626,0.23224466,-1.76936913,-0.10587114,0.02,0.02,-0.14,23.13725471,11.76470566,-,-,14.69999981,14.23556042,-,10,14.93888701,549.59997559,1,372.01986694,-,0,0,91,25.88235283,39.2156868,1391.25,0.00163268,4.25342798,70.89046478,77.2549057,0,-2.34375,2.34375,-,0.00120939,1.86411358,1.04720604,19,0.24277061,9.53280544,-,-44706404.58007693,0,0,100,1.86411358,18.8235302,9,0.65100002,0.65100002,0,-4.35113192,12.22200012,12.39999962
