GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Barometer (on Android device)(mb),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),Fuel Rate (direct from ECU)(L/m),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Mass Air Flow Rate(g/s),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Throttle Position(%),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip Time(Since journey start)(s)
Fri Apr 15 19:39:08 GMT+02:00 2022,15-Apr-2022 19:39:10.622,5.218832114498911,52.420514746473906,0.0,4.0,42.16563277514872,237.85235595703125,9.81892109,0.08858817,-0.19633053,-0.00398219,0,0,0,16.47058868,8.23529434,-,14.69999981,-,-,1031.21337891,335.32794189,-,93,-,0,0,0,-,0.50583612,0.0084306,82.7450943,0,45.25565338,9.375,0,4,42.16563416,237.85235596,52.42051315,5.21883202,-,16,0,10.41045761,-,6.35238409,0,93.64761353,9.01960754,0,0,17.64705849,-,0
Fri Apr 15 19:39:08 GMT+02:00 2022,15-Apr-2022 19:39:10.723,5.218832114498911,52.420514746473906,0.0,4.0,42.16563277514872,237.85235595703125,9.85244083,0.0670397,-0.19154198,-0.00059307,0,0,0,16.47058868,8.23529434,-,14.69999981,-,-,1031.21459961,335.32794189,-,93,-,0,0,0,-,0.50583612,0.0084306,82.7450943,0,45.25565338,9.375,0,4,42.16563416,237.85235596,52.42051315,5.21883202,-,16,0,10.41045761,-,6.35238409,0,93.64761353,9.01960754,0,0,17.64705849,-,0
Fri Apr 15 19:39:08 GMT+02:00 2022,15-Apr-2022 19:39:10.829,5.218832114498911,52.420514746473906,0.0,4.0,42.16563277514872,237.85235595703125,9.84525776,0.0383084,-0.19393626,-0.00133598,0,0,0,16.47058868,8.23529434,-,14.69999981,-,-,1031.21313477,335.32794189,-,93,-,0,0,0,-,0.50583612,0.0084306,82.7450943,0,45.25565338,9.375,0,4,42.16563416,237.85235596,52.42051315,5.21883202,-,16,0,10.41045761,-,6.35238409,0,93.64761353,9.01960754,0,0,17.64705849,-,0
Fri Apr 15 19:39:08 GMT+02:00 2022,15-Apr-2022 19:39:10.924,5.218832114498911,52.420514746473906,0.0,4.0,42.16563277514872,237.85235595703125,9.82131481,0.05267405,-0.17717634,-0.0038017,0,0,0,16.47058868,8.23529434,-,14.69999981,-,-,1031.21142578,335.32794189,-,93,-,0,0,0,-,0.50583612,0.0084306,82.7450943,0,45.25565338,9.375,0,4,42.16563416,237.85235596,52.42051315,5.21883202,-,16,0,10.41045761,-,6.35238409,0,93.64761353,9.01960754,0,0,17.64705849,-,0
Fri Apr 15 19:39:08 GMT+02:00 2022,15-Apr-2022 19:39:11.027,5.218832114498911,52.420514746473906,0.0,4.0,42.16563277514872,237.85235595703125,9.85244083,0.07901107,-0.18675344,-0.00059342,0,0,0,16.47058868,8.23529434,-,14.69999981,-,-,1031.21142578,335.32794189,-,93,-,0,0,0,-,0.50583612,0.0084306,82.7450943,0,45.25565338,9.375,0,4,42.16563416,237.85235596,52.42051315,5.21883202,-,16,0,10.41045761,-,6.35238409,0,93.64761353,9.01960754,0,0,17.64705849,-,0
Fri Apr 15 19:39:08 GMT+02:00 2022,15-Apr-2022 19:39:11.123,5.218832114498911,52.420514746473906,0.0,4.0,42.16563277514872,237.85235595703125,9.84286404,0.05506832,-0.15562786,-0.00164115,0,0,0,16.47058868,8.23529434,-,14.69999981,-,-,1031.20605469,335.32794189,-,93,-,0,0,0,-,0.50583612,0.0084306,82.7450943,0,45.25565338,9.375,0,4,42.16563416,237.85235596,52.42051315,5.21883202,-,16,0,10.41045761,-,6.35238409,0,93.64761353,9.01960754,0,0,17.64705849,-,0
Fri Apr 15 19:39:08 GMT+02:00 2022,15-Apr-2022 19:39:11.220,5.218832114498911,52.420514746473906,0.0,4.0,42.16563277514872,237.85235595703125,9.84286404,0.06943397,-0.12450229,-0.00167704,0,0,0,16.47058868,8.23529434,-,14.69999981,-,-,1031.21191406,335.32794189,-,93,-,0,0,0,-,0.50583612,0.0084306,82.7450943,0,45.25565338,9.375,0,4,42.16563416,237.85235596,52.42051315,5.21883202,-,16,0,10.41045761,-,6.35238409,0,93.64761353,9.01960754,0,0,17.64705849,-,0
Fri Apr 15 19:39:08 GMT+02:00 2022,15-Apr-2022 19:39:11.319,5.218832114498911,52.420514746473906,0.0,4.0,42.16563277514872,237.85235595703125,9.85722923,0.06225114,-0.24900457,0.00002265,0,0,0,16.47058868,8.23529434,-,14.69999981,-,-,1031.21191406,335.32794189,-,93,-,0,0,0,-,0.50583612,0.0084306,82.7450943,0,45.25565338,9.375,0,4,42.16563416,237.85235596,52.42051315,5.21883202,-,16,0,10.41045761,-,6.35238409,0,93.64761353,9.01960754,0,0,17.64705849,-,0
Fri Apr 15 19:39:09 GMT+02:00 2022,15-Apr-2022 19:39:11.420,5.218832114498911,52.420514746473906,0.0,4.0,42.177333711271494,237.85235595703125,10.01046276,0.08379962,-0.14605077,0.01544654,0,0,0.02,16.47058868,8.23529434,-,14.69999981,-,-,1031.20385742,335.32794189,-,93,-,0,0,0,-,0.50583612,0.0084306,82.7450943,0,45.25565338,9.375,0,4,42.17733383,237.85235596,52.42051315,5.21883202,-,16,0,10.41045761,-,6.35238409,0,93.64761353,9.01960754,0,0,17.64705849,-,0
Fri Apr 15 19:39:09 GMT+02:00 2022,15-Apr-2022 19:39:11.523,5.218832114498911,52.420514746473906,0.0,4.0,42.177333711271494,237.85235595703125,9.92905807,0.14365649,0.19872481,0.00731266,0,0.01,0.04,16.47058868,8.23529434,-,14.69999981,-,-,1031.20385742,335.32794189,-,93,-,0,0,0,-,0.50583612,0.0084306,82.7450943,0,45.25565338,9.375,0,4,42.17733383,237.85235596,52.42051315,5.21883202,-,16,0,10.41045761,-,6.35238409,0,93.64761353,9.01960754,0,0,17.64705849,-,0
