GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),Engine Coolant Temperature(°C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel used (trip)(l),GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),O2 Bank 1 Sensor 1 Voltage(V),Odometer(from ECU)(miles),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Sun Mar 20 08:02:55 GMT+01:00 2022,20-Mar-2022 08:05:58.279,5.207126563604788,52.41634615777237,0.0,4.0,38.228855966167714,236.08619689941406,9.62498474,0.18435916,-0.67279124,-0.05075997,-0.08,0,-0.04,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,584.5,1,359.73416138,-,0,0,98,0,0,0,-,1.77523553,29.58725929,80.78431702,0,10.15625,0,-,-,0,-,28,0,9.40514278,-,102284866.34127091,86.93180847,0,13.06818771,0,17.64705849,-30,0,0,0,-0.14503774,12.38599968,12.39999962
Sun Mar 20 08:02:55 GMT+01:00 2022,20-Mar-2022 08:05:58.384,5.207126563604788,52.41634615777237,0.0,4.0,38.228855966167714,236.08619689941406,9.84046936,0.06225114,-1.04150951,-0.02574503,-0.08,0.01,-0.12,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,584.5,1,359.73416138,-,0,0,98,0,0,0,-,1.77523553,29.58725929,80.78431702,0,10.15625,0,-,-,0,-,28,0,9.40514278,-,102284866.34127091,86.93180847,0,13.06818771,0,17.64705849,-30,0,0,0,-0.14503774,12.38599968,12.39999962
Sun Mar 20 08:02:55 GMT+01:00 2022,20-Mar-2022 08:05:58.480,5.207126563604788,52.41634615777237,0.0,4.0,38.228855966167714,236.08619689941406,9.98651981,0.14365649,-1.19474316,-0.00911605,-0.04,0.03,-0.11,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,584.5,1,359.73416138,-,0,0,98,0,0,0,-,1.77523553,29.58725929,80.78431702,0,10.15625,0,-,-,0,-,28,0,9.40514278,-,102284866.34127091,86.93180847,0,13.06818771,0,17.64705849,-30,0,0,0,-0.14503774,12.38599968,12.39999962
Sun Mar 20 08:02:55 GMT+01:00 2022,20-Mar-2022 08:05:58.585,5.207126563604788,52.41634615777237,0.0,4.0,38.228855966167714,236.08619689941406,9.81173801,0.32801566,-1.20432019,-0.02623582,-0.01,0.01,-0.09,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,584.5,1,359.73416138,-,0,0,98,0,0,0,-,1.77523553,29.58725929,80.78431702,0,10.15625,0,-,-,0,-,28,0,9.40514278,-,102284866.34127091,86.93180847,0,13.06818771,0,17.64705849,-30,0,0,0,-0.14503774,12.38599968,12.39999962
Sun Mar 20 08:02:55 GMT+01:00 2022,20-Mar-2022 08:05:58.683,5.207126563604788,52.41634615777237,0.0,4.0,38.228855966167714,236.08619689941406,9.60343647,0.23942748,-1.17798316,-0.03076004,-0.04,0.01,-0.11,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,584.5,1,359.73416138,-,0,0,98,0,0,0,-,1.77523553,29.58725929,79.21568298,0,10.15625,0,-,-,0,-,28,0,9.40513229,-,102284866.34127091,86.93180847,0,13.06818771,0,17.64705849,-30,0,0,0,-7.25188684,12.38599968,12.39999962
Sun Mar 20 08:02:56 GMT+01:00 2022,20-Mar-2022 08:05:58.780,5.207126563604788,52.41634615777237,0.0,6.0,38.238560777558824,236.08619689941406,9.86920071,0.12450229,-1.06784654,-0.02248764,-0.04,0.02,-0.11,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,584.5,1,359.73416138,-,0,0,98,29.01960754,0,890,-,1.77523553,29.58725929,79.21568298,0,10.15625,0,-,-,0,-,28,0,9.40513229,-,102284866.34127091,86.93180847,0,13.06818771,0,17.64705849,-30,0,0,0,-7.25188684,12.38599968,12.39999962
Sun Mar 20 08:02:56 GMT+01:00 2022,20-Mar-2022 08:05:58.881,5.207126563604788,52.41634615777237,0.0,6.0,38.238560777558824,236.08619689941406,9.99370289,0.46209505,-0.31125572,-0.01416576,0,0.01,-0.07,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,584.5,1,359.73416138,-,0,0,98,29.01960754,0,890,-,1.77523553,29.58725929,79.21568298,0,10.15625,0,-,-,0,-,29,0,9.40513229,-,102284866.34127091,86.93180847,0,13.06818771,0,12.94117641,-6,0,0,0,-7.25188684,12.14000034,12.39999962
Sun Mar 20 08:02:56 GMT+01:00 2022,20-Mar-2022 08:05:58.982,5.207126563604788,52.41634615777237,0.0,6.0,38.238560777558824,236.08619689941406,10.10383987,0.49561489,-0.7685622,-0.00031042,-0.01,0,-0.04,16.47058868,8.23529434,-,-,14.69999981,-,-,3,14.93888701,584.29998779,1,359.73416138,-,0,0,98,29.01960754,0,890,-,1.77523553,29.58725929,79.21568298,0,2.34375,0,-,-,0,-,29,0,9.40513229,-,102284866.34127091,86.93180847,0,13.06818771,0,12.94117641,-6,0,0,0,-7.25188684,12.14000034,12.30000019
Sun Mar 20 08:02:56 GMT+01:00 2022,20-Mar-2022 08:05:59.081,5.207126563604788,52.41634615777237,0.0,6.0,38.238560777558824,236.08619689941406,10.04637718,0.29928434,-0.58180881,-0.00820875,-0.01,0.02,-0.07,24.31372643,8.23529434,-,-,14.69999981,13.59845543,-,3,14.93888701,584.29998779,1,359.73416138,-,0,0,98,29.01960754,0,890,-,1.77523553,29.58725929,79.21568298,0,2.34375,0,-,-,0,-,29,0,9.40513229,-,102284866.34127091,86.93180847,0,13.06818771,0,12.94117641,-6,0,0,0,-7.25188684,12.14000034,12.30000019
Sun Mar 20 08:02:56 GMT+01:00 2022,20-Mar-2022 08:05:59.180,5.207126563604788,52.41634615777237,0.0,6.0,38.238560777558824,236.08619689941406,9.53639698,0.08379962,-1.15882897,-0.05517578,-0.02,0.02,-0.05,24.31372643,12.15686321,-,-,14.69999981,13.59845543,-,3,14.93888701,584.29998779,1,359.73416138,-,0,0,98,29.01960754,36.86274338,890,-,1.77523553,29.58725929,79.21568298,0,2.34375,0,-,-,0,-,29,0,9.40513229,-,102284866.34127091,86.93180847,0,13.06818771,0,12.94117641,-6,0,0,0,-7.25188684,12.14000034,12.30000019
