GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),Engine Coolant Temperature(°C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel used (trip)(l),GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),O2 Bank 1 Sensor 1 Voltage(V),Odometer(from ECU)(miles),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Sun Mar 20 06:18:57 GMT+01:00 2022,20-Mar-2022 06:22:00.228,5.207160446346269,52.416299356075115,0.0,4.0,47.09860293258702,0.0,9.91469193,0.02394275,-0.12210801,0.00805295,-0.01,0,0.01,16.47058868,8.23529434,-,-,14.3088131,-,-,3,14.93888701,578.09997559,0.97338867,376.45739746,-,0,0,72,12.94117641,16.47058868,854.75,-,1.64223444,27.37057304,80.78431702,0,3.90625,3.125,-,-,0,-,6,0,9.50793743,-,-88490734.07898214,0.04216912,0,99.95783234,0,10.1960783,12.5,0,0,0,-10.29767895,14.68299961,14.80000019
Sun Mar 20 06:18:57 GMT+01:00 2022,20-Mar-2022 06:22:00.331,5.207160446346269,52.416299356075115,0.0,4.0,47.09860293258702,0.0,9.95060635,0.2083019,-0.09098244,0.01189899,0.01,0.02,0,16.47058868,8.23529434,-,-,14.3088131,-,-,3,14.93888701,578.09997559,0.97338867,376.45739746,-,0,0,72,12.94117641,16.47058868,854.75,-,1.64223444,27.37057304,80.78431702,0,3.90625,3.125,-,-,0,-,6,0,9.50793743,-,-88490734.07898214,0.04216912,0,99.95783234,0,10.1960783,12.5,0,0,0,-10.29767895,14.68299961,14.80000019
Sun Mar 20 06:18:57 GMT+01:00 2022,20-Mar-2022 06:22:00.430,5.207160446346269,52.416299356075115,0.0,4.0,47.09860293258702,0.0,9.8787775,0.19393626,-0.25858167,0.00485122,0,0,0.01,16.47058868,8.23529434,-,-,14.3088131,-,-,3,14.93888701,578.09997559,0.97338867,376.45739746,-,0,0,72,12.94117641,16.47058868,854.75,-,1.64223444,27.37057304,80.78431702,0,3.90625,3.125,-,-,0,-,6,0,9.50793743,-,-88490734.07898214,0.04216912,0,99.95783234,0,10.1960783,12.5,0,0,0,-10.29767895,14.68299961,14.80000019
Sun Mar 20 06:18:57 GMT+01:00 2022,20-Mar-2022 06:22:00.531,5.207160446346269,52.416299356075115,0.0,4.0,47.09860293258702,0.0,9.75427532,0.19633053,-0.20590763,-0.00795615,-0.02,0.01,0,16.47058868,8.23529434,-,-,14.3088131,-,-,3,14.93888701,578.09997559,0.97338867,376.45739746,-,0,0,72,12.94117641,16.47058868,854.75,-,1.64223444,27.37057304,80.78431702,0,3.90625,3.125,-,-,0,-,6,0,9.50793743,-,-88490734.07898214,0.04216912,0,99.95783234,0,10.1960783,12.5,0,0,0,-10.29767895,14.68299961,14.80000019
Sun Mar 20 06:18:57 GMT+01:00 2022,20-Mar-2022 06:22:00.628,5.207160446346269,52.416299356075115,0.0,4.0,47.09860293258702,0.0,9.92905807,0.17238778,-0.20111908,0.00979793,0,0.01,-0.01,16.47058868,8.23529434,-,-,14.3088131,-,-,3,14.93888701,578.09997559,0.97338867,376.45739746,-,0,0,72,12.94117641,16.47058868,854.75,-,1.64223444,27.37057304,80.78431702,0,3.90625,3.125,-,-,0,-,6,0,9.50793743,-,-88490734.07898214,0.04216912,0,99.95783234,0,10.1960783,12.5,0,0,0,-10.29767895,14.68299961,14.80000019
Sun Mar 20 06:18:58 GMT+01:00 2022,20-Mar-2022 06:22:00.727,5.207160446346269,52.416299356075115,0.0,4.0,47.103577560439184,0.0,9.78061295,0.04549122,-0.05985687,-0.00566477,0,0,0,16.47058868,8.23529434,-,-,14.3088131,-,-,3,14.93888701,578.09997559,0.97338867,376.45739746,-,0,0,72,12.94117641,16.47058868,854.75,-,1.64223444,27.37057304,80.78431702,0,3.90625,3.125,-,-,0,-,6,0,9.50793743,-,-88490734.07898214,0.04216912,0,99.95783234,0,10.1960783,12.5,0,0,0,-10.29767895,14.68299961,14.80000019
Sun Mar 20 06:18:58 GMT+01:00 2022,20-Mar-2022 06:22:00.828,5.207160446346269,52.416299356075115,0.0,4.0,47.103577560439184,0.0,9.96975994,0.0574626,-0.0287313,0.01360798,-0.01,0.02,0,16.47058868,8.23529434,-,-,14.3088131,-,-,3,14.93888701,578.09997559,0.97338867,376.45739746,-,0,0,72,12.94117641,16.47058868,854.75,-,1.64223444,27.37057304,80.78431702,0,3.90625,3.125,-,-,0,-,6,0,9.50793743,-,-88490734.07898214,0.04216912,0,99.95783234,0,10.1960783,12.5,0,0,0,-10.29767895,14.68299961,14.80000019
Sun Mar 20 06:18:58 GMT+01:00 2022,20-Mar-2022 06:22:00.931,5.207160446346269,52.416299356075115,0.0,4.0,47.103577560439184,0.0,10.10383987,0.09098244,-0.05267405,0.02731025,0.01,0.01,-0.01,16.47058868,8.23529434,-,-,14.3088131,-,-,3,14.93888701,578.09997559,0.97338867,376.45739746,-,0,0,72,12.94117641,16.47058868,854.75,-,1.64223444,27.37057304,80.78431702,0,3.90625,3.125,-,-,0,-,6,0,9.50793743,-,-88490734.07898214,0.04216912,0,99.95783234,0,10.1960783,12.5,0,0,0,-10.29767895,14.68299961,14.80000019
Sun Mar 20 06:18:58 GMT+01:00 2022,20-Mar-2022 06:22:01.032,5.207160446346269,52.416299356075115,0.0,4.0,47.103577560439184,0.0,9.92426872,0.08140534,-0.26337022,0.00933981,0.01,0,0.01,16.47058868,8.23529434,-,-,14.3088131,-,-,3,14.93888701,578.09997559,0.97338867,376.45739746,-,0,0,72,12.94117641,16.47058868,854.75,-,1.64223444,27.37057304,80.78431702,0,3.90625,3.125,-,-,0,-,6,0,9.50793743,-,-88490734.07898214,0.04216912,0,99.95783234,0,10.1960783,12.5,0,0,0,-10.29767895,14.68299961,14.80000019
Sun Mar 20 06:18:58 GMT+01:00 2022,20-Mar-2022 06:22:01.132,5.207160446346269,52.416299356075115,0.0,4.0,47.103577560439184,0.0,9.73751545,0.14605077,-0.28013015,-0.00956517,-0.01,0.01,-0.01,16.47058868,8.23529434,-,-,14.3088131,-,-,3,14.93888701,578.09997559,0.97338867,376.45739746,-,0,0,72,12.94117641,16.47058868,854.75,-,1.64223444,27.37057304,80.78431702,0,3.90625,3.125,-,-,0,-,6,0,9.50793743,-,-88490734.07898214,0.04216912,0,99.95783234,0,10.1960783,12.5,0,0,0,-10.29767895,14.68299961,14.80000019
